Project,hole_id,depth_from,depth_to,ModelStratigraphy
MR,MR 31,12,45,RAT
MR,MR 31,45,90,CMN
MR,MR 31,90,147,RAT
MR,MR 31,147,150,MV
MR,MR 31,150,155,RSF/DSTRAT
MR,MR 31,155,159,RSF/DSTRAT
MR,MR 31,159,170,RSC
MR,MR 31,170,171,SD
MR,MR 31,171,176,RSC
MR,MR 32,0,24,LATERITE
MR,MR 32,24,50,CMN
MR,MR 33,0,74,
MR,MR 33,74,114.9,RAT
MR,MR 33,114.9,115,MV
MR,MR 33,115,118.7,RSF/DSTRAT
MR,MR 33,118.7,123.4,RSF/DSTRAT
MR,MR 33,123.4,126,RSC
MR,MR 34,0,8,LATERITE
MR,MR 34,8,33,CMN
MR,MR 34,33,50,BRECCIA
MR,MR 35,0,6,LATERITE
MR,MR 35,6,70,CMN
MR,MR 36,0,8,LATERITE
MR,MR 36,8,51,CMN
MR,MR 37,0,14,LATERITE
MR,MR 37,14,60,CMN
MR,MR 40,0,1,SOIL
MR,MR 40,1,2,SOIL
MR,MR 40,2,3,SOIL
MR,MR 40,3,4,SOIL
MR,MR 40,4,5,SOIL
MR,MR 40,5,6,SOIL
MR,MR 40,6,7,SOIL
MR,MR 40,7,8,SOIL
MR,MR 40,8,9,SOIL
MR,MR 40,9,10,SOIL
MR,MR 40,10,11,SOIL
MR,MR 40,11,12,SOIL
MR,MR 40,12,13,SOIL
MR,MR 40,13,14,RGS
MR,MR 40,14,15,RGS
MR,MR 40,15,16,RGS
MR,MR 40,16,17,RGS
MR,MR 40,17,18,RGS
MR,MR 40,18,19,RAT
MR,MR 40,19,20,RAT
MR,MR 40,20,21,RAT
MR,MR 40,21,22,RAT
MR,MR 40,22,23,CMN
MR,MR 40,23,24,CMN
MR,MR 40,24,25,CMN
MR,MR 40,25,26,CMN
MR,MR 40,26,27,CMN
MR,MR 40,27,28,CMN
MR,MR 40,28,29,CMN
MR,MR 40,29,30,CMN
MR,MR 40,30,31,CMN
MR,MR 40,31,32,CMN
MR,MR 40,32,33,CMN
MR,MR 40,33,34,CMN
MR,MR 40,34,35,CMN
MR,MR 40,35,36,CMN
MR,MR 40,36,37,CMN
MR,MR 40,37,38,CMN
MR,MR 40,38,39,CMN
MR,MR 40,39,40,CMN
MR,MR 40,40,41,CMN
MR,MR 40,41,42,CMN
MR,MR 40,42,43,CMN
MR,MR 40,43,44,CMN
MR,MR 40,44,45,CMN
MR,MR 40,45,46,CMN
MR,MR 40,46,47,CMN
MR,MR 40,47,48,CMN
MR,MR 40,48,49,CMN
MR,MR 40,49,50,CMN
MR,MR 40,50,51,CMN
MR,MR 40,51,52,CMN
MR,MR 40,52,53,CMN
MR,MR 40,53,54,CMN
MR,MR 40,54,55,CMN
MR,MR 40,55,56,CMN
MR,MR 40,56,57,CMN
MR,MR 40,57,58,CMN
MR,MR 40,58,59,CMN
MR,MR 40,59,60,CMN
MR,MR 40,60,61,CMN
MR,MR 41,0,8,LATERITE
MR,MR 41,8,51,RAT
MR,MR 41,51,70,SD
MR,MR 42,0,7,LATERITE
MR,MR 42,7,44,BRECCIA
MR,MR 42,44,70,RAT
MR,MR 56,0,20,LATERITE
MR,MR 56,20,62,CMN
MR,MR 57,0,5,LATERITE
MR,MR 57,5,21,CMN
MR,MR 58,0,6,LATERITE
MR,MR 58,6,49,CMN
MR,MR 62,0,2,LATERITE
MR,MR 62,2,60,CMN
MR,MR 63,0,6,LATERITE
MR,MR 63,6,60,CMN
MR,MR 66,0,8,LATERITE
MR,MR 66,8,57,CMN
MR,MR 69,0,9,LATERITE
MR,MR 69,9,60,CMN
MR,MR 70,0,17,LATERITE
MR,MR 70,17,28,RAT
MR,MR 70,28,92,CMN
MR,MR 72,0,23,LATERITE
MR,MR 72,23,80,CMN
MR,MR 73,0,2,LATERITE
MR,MR 73,2,70,CMN
MR,MR 74,0,10,LATERITE
MR,MR 74,10,44,CMN
MR,MR 75,0,9,LATERITE
MR,MR 75,9,65,CMN
MR,MR 77,0,6,LATERITE
MR,MR 77,6,51,CMN
MR,MR 78,0,7,LATERITE
MR,MR 78,7,70,CMN
MR,MR 79,0,5,LATERITE
MR,MR 79,5,65,CMN
OXS,OXS02,0,11.7,BOMZ
OXS,OXS02,11.7,38.4,CMN
OXS,OXS02,38.4,75.8,BRECCIA
OXS,OXS02,75.8,76.3,CMN
OXS,OXS02,76.3,80,BRECCIA
OXS,OXS04,0,11,RAT
OXS,OXS04,11,14.5,RSF/DSTRAT
OXS,OXS04,14.5,14.8,RSF/DSTRAT
OXS,OXS04,14.8,28,RSC
OXS,OXS04,28,40,SD
OXS,OXS04,40,41.5,CMN WAD
OXS,OXS04,41.5,63,SD
OXS,OXS04,63,91,BOMZ
OXS,OXS04,91,100,CMN
OXS,OXS04,100,122.5,BRECCIA
OXS,OXS04,122.5,154,CMN
OXY,OXY02,0,26.5,BRECCIA
OXY,OXY02,26.5,51.5,RAT
OXY,OXY02,51.5,55.5,BRECCIA
OXY,OXY02,55.5,59.5,RAT
OXY,OXY02,59.5,65.3,BRECCIA
OXY,OXY02,65.3,66,CMN WAD
OXY,OXY02,66,80.5,CMN
OXY,OXY02,80.5,90,BRECCIA
OXY,OXY02,90,97.6,CMN
OXY,OXY02,97.6,106.6,BRECCIA
OXY,OXY02,106.6,150,CMN
OXY,OXY08,0,33.5,CMN
OXY,OXY08,33.5,87.5,BRECCIA
OXY,OXY08,87.5,111,BRECCIA
OXY,OXY08,111,119.2,CMN
OXY,OXY08,119.2,155,BRECCIA
RPD,RPD01,0,9,BOMZ
RPD,RPD01,9,15.5,SD
RPD,RPD01,15.5,22,BOMZ
RPD,RPD01,22,62.8,SD
RPD,RPD01,62.8,75.8,RSC
RPD,RPD01,75.8,82.9,RSF/DSTRAT
RPD,RPD01,82.9,88,RSF/DSTRAT
RPD,RPD01,88,100,RAT
RPD,RPD03,0,7.2,SD
RPD,RPD03,7.2,21.7,BOMZ
RPD,RPD03,21.7,70,SD
RPD,RPD03,70,80.2,RSC
RPD,RPD03,80.2,84.25,RSF/DSTRAT
RPD,RPD03,84.25,87.5,RSF/DSTRAT
RPD,RPD03,87.5,91.7,MV
RPD,RPD03,91.7,113.3,RAT
RPD,RPD04,0,40,SD
RPD,RPD05,0,4,SD
RPD,RPD05,4,20,LMZ
RPD,RPD05,20,28,BRECCIA
RPD,RPD05,28,33.5,RSF/DSTRAT
RPD,RPD05,33.5,40,RSF/DSTRAT
RPD,RPD05,40,44.9,MV
RPD,RPD05,44.9,45,RAT
RPD,RPD06,0,11.5,CMN
RPD,RPD06,11.5,15.4,BOMZ
RPD,RPD06,15.4,21,CMN
RPD,RPD06,21,22.5,BOMZ
RPD,RPD06,22.5,28,CMN
RPD,RPD06,28,49.1,BOMZ
RPD,RPD06,49.1,50,RSC
RPD,RPD08,0,29,BOMZ
RPD,RPD08,29,40,SD
RPD,RPD11,0,19,SD
RPD,RPD11,19,25.2,SD
RPD,RPD11,25.2,40,RSC
RPD,RPD110,0,21.7,RAT
RPD,RPD110,21.7,22,MV
RPD,RPD110,22,27,RSF/DSTRAT
RPD,RPD110,27,37,RSC
RPD,RPD110,37,43.5,SD
RPD,RPD110,43.5,67,SD
RPD,RPD110,67,80,CMN
RPD,RPD112,0,28,RAT
RPD,RPD112,28,31,BRECCIA
RPD,RPD112,31,39,MV
RPD,RPD112,39,39.8,RSF/DSTRAT
RPD,RPD112,39.8,49,RSF/DSTRAT
RPD,RPD112,49,61,RSC
RPD,RPD112,61,65.2,SD
RPD,RPD112,65.2,70,SD
RPD,RPD113,0,8,SD
RPD,RPD113,8,28,BOMZ
RPD,RPD113,28,40,CMN
RPD,RPD114,0,22,SD
RPD,RPD114,22,37.2,BOMZ
RPD,RPD114,37.2,61,CMN
RPD,RPD116,0,7,RAT
RPD,RPD116,7,14.3,MV
RPD,RPD116,14.3,17,RSF/DSTRAT
RPD,RPD116,17,22.7,RSF/DSTRAT
RPD,RPD116,22.7,28,RSC
RPD,RPD116,28,34,SD
RPD,RPD116,34,50,SD
RPD,RPD116,50,65,CMN
RPD,RPD119,0,77.5,LATERITE
RPD,RPD119,77.5,113,RAT
RPD,RPD119,113,118.8,LMZ
RPD,RPD119,118.8,201.2,SD
RPD,RPD119,201.2,263.7,BOMZ
RPD,RPD119,263.7,284.6,SD
RPD,RPD119,284.6,300.5,RAT
RPD,RPD119,300.5,305.8,BRECCIA
RPD,RPD119,305.8,310.3,RAT
RPD,RPD119,310.3,313,BRECCIA
RPD,RPD121,0,91.2,LATERITE
RPD,RPD121,91.2,99,RAT
RPD,RPD121,99,121,RAT
RPD,RPD121,121,146.5,SD
RPD,RPD121,146.5,169,BOMZ
RPD,RPD121,169,200,CMN
RPD,RPD123,0,2.8,SOIL
RPD,RPD123,2.8,35,LATERITE
RPD,RPD123,35,43,RAT
RPD,RPD123,43,66,BRECCIA
RPD,RPD123,66,104,RAT
RPD,RPD123,104,109,LMZ
RPD,RPD123,109,115,MV
RPD,RPD123,115,120.3,RSF/DSTRAT
RPD,RPD123,120.3,129.7,RSF/DSTRAT
RPD,RPD123,129.7,140,RSC
RPD,RPD123,140,145,SD
RPD,RPD123,145,271,SD
RPD,RPD123,271,274,BOMZ
RPD,RPD123,274,285,SD
RPD,RPD123,285,300,CMN
RPD,RPD125,0,2,SOIL
RPD,RPD125,2,13.7,LATERITE
RPD,RPD125,13.7,38.5,RAT
RPD,RPD125,38.5,48,BRECCIA
RPD,RPD125,48,62.2,RAT
RPD,RPD125,62.2,73.5,BRECCIA
RPD,RPD125,73.5,80.5,RAT
RPD,RPD125,80.5,172.5,BRECCIA
RPD,RPD125,172.5,179,MV
